------------------------------
test was performed using the following parameters: --mps=400 --burst=1 --reply-every=1 --msg-size=64 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=4040; ReceivedMessages=4040
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.993 sec; SentMessages=3998; ReceivedMessages=3998
sockperf: [2;35m====> avg-lat=  1.403 (std-dev=0.677)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 3998 observations[0m; each percentile contains 39.98 observations
sockperf: ---> <MAX> observation =   42.337
sockperf: ---> percentile  99.99 =   42.337
sockperf: ---> percentile  99.90 =    2.820
sockperf: ---> percentile  99.50 =    2.303
sockperf: ---> percentile  99.00 =    2.179
sockperf: ---> percentile  95.00 =    1.813
sockperf: ---> percentile  90.00 =    1.578
sockperf: ---> percentile  75.00 =    1.411
sockperf: ---> percentile  50.00 =    1.335
sockperf: ---> percentile  25.00 =    1.288
sockperf: ---> <MIN> observation =    1.188
------------------------------
txTime, rxTime
2.276016105, 2.276018889
2.278516108, 2.278519023
2.281016107, 2.281018925
2.283516106, 2.283519365
2.286016110, 2.286018820
2.288516106, 2.288518948
2.291016111, 2.291018836
2.293516106, 2.293518652
2.296016107, 2.296018797
2.298516111, 2.298518620
2.301016104, 2.301019528
2.303516110, 2.303519268
2.306016105, 2.306019066
2.308516108, 2.308518674
2.311016106, 2.311018810
2.313516108, 2.313518739
2.316016110, 2.316018780
2.318516105, 2.318519987
2.321016113, 2.321019467
2.323516104, 2.323519112
2.326016112, 2.326018976
2.328516104, 2.328518740
2.331016111, 2.331018918
2.333516111, 2.333518903
2.336016106, 2.336018879
2.338516111, 2.338518989
2.341016108, 2.341018957
2.343516109, 2.343518820
2.346016105, 2.346018938
2.348516109, 2.348518548
2.351016107, 2.351018820
2.353516108, 2.353518641
2.356016107, 2.356018710
2.358516106, 2.358518723
2.361016110, 2.361018733
2.363516103, 2.363519014
2.366016110, 2.366018981
2.368516112, 2.368518905
2.371016104, 2.371018833
2.373516108, 2.373518637
2.376016103, 2.376018589
2.378516112, 2.378518608
2.381016105, 2.381020977
2.383516111, 2.383522937
2.386016111, 2.386019178
2.388516103, 2.388518753
2.391016111, 2.391018996
2.393516108, 2.393518702
2.396016108, 2.396018790
2.398516105, 2.398518751
2.401016110, 2.401019965
2.403516111, 2.403518906
2.406016106, 2.406019022
2.408516111, 2.408518929
2.411016104, 2.411018819
2.413516108, 2.413518753
2.416016103, 2.416018641
2.418516109, 2.418518601
2.421016108, 2.421018752
2.423516105, 2.423518869
2.426016107, 2.426020239
2.428516105, 2.428518633
2.431016112, 2.431018965
2.433516104, 2.433518691
2.436016110, 2.436018640
2.438516111, 2.438518576
2.441016103, 2.441018830
2.443516108, 2.443518836
2.446016108, 2.446018703
2.448516110, 2.448518572
2.451016111, 2.451018708
2.453516111, 2.453518603
2.456016110, 2.456018702
2.458516106, 2.458518885
2.461016110, 2.461018803
2.463516107, 2.463519173
2.466016109, 2.466018881
2.468516111, 2.468518657
2.471016108, 2.471018722
2.473516109, 2.473518652
2.476016106, 2.476018821
2.478516112, 2.478519427
2.481016106, 2.481019522
2.483516108, 2.483519082
2.486016103, 2.486019069
2.488516107, 2.488518742
2.491016111, 2.491019149
2.493516107, 2.493518689
2.496016111, 2.496018810
2.498516107, 2.498519148
2.501016111, 2.501018889
2.503516109, 2.503519095
2.506016111, 2.506018795
2.508516107, 2.508518607
2.511016107, 2.511018696
2.513516111, 2.513518589
2.516016108, 2.516018701
2.518516112, 2.518518771
2.521016108, 2.521018779
2.523516109, 2.523518788
2.526016112, 2.526018895
2.528516105, 2.528518595
2.531016112, 2.531018853
2.533516105, 2.533518676
2.536016107, 2.536018677
2.538516109, 2.538518708
2.541016107, 2.541019719
2.543516108, 2.543519602
2.546016105, 2.546020403
2.548516107, 2.548518740
2.551016104, 2.551018706
2.553516110, 2.553518698
2.556016107, 2.556018587
2.558516107, 2.558518709
2.561016110, 2.561019187
2.563516106, 2.563519014
2.566016110, 2.566019048
2.568516108, 2.568518677
2.571016107, 2.571018797
2.573516112, 2.573518664
2.576016107, 2.576018661
2.578516108, 2.578518965
2.581016105, 2.581018975
2.583516108, 2.583519000
2.586016105, 2.586018856
2.588516108, 2.588520239
2.591016111, 2.591018886
2.593516107, 2.593518740
2.596016108, 2.596018923
2.598516106, 2.598518655
2.601016108, 2.601019031
2.603516106, 2.603519179
2.606016111, 2.606018953
2.608516108, 2.608518782
2.611016107, 2.611018924
2.613516112, 2.613518806
2.616016103, 2.616018868
2.618516111, 2.618519007
2.621016112, 2.621018905
2.623516112, 2.623519137
2.626016112, 2.626019057
2.628516104, 2.628518605
2.631016107, 2.631018697
2.633516105, 2.633518661
2.636016111, 2.636018649
2.638516105, 2.638519300
2.641016108, 2.641019449
2.643516109, 2.643518799
2.646016108, 2.646018841
2.648516108, 2.648519080
2.651016107, 2.651018844
2.653516111, 2.653518691
2.656016112, 2.656018823
2.658516108, 2.658518705
2.661016110, 2.661018959
2.663516105, 2.663518983
2.666016107, 2.666018879
2.668516107, 2.668520920
2.671016110, 2.671019109
2.673516111, 2.673518701
2.676016107, 2.676019371
2.678516110, 2.678518713
2.681016104, 2.681018798
2.683516111, 2.683518798
2.686016103, 2.686018822
2.688516108, 2.688518581
2.691016111, 2.691018748
2.693516110, 2.693518787
2.696016111, 2.696018607
2.698516108, 2.698518622
2.701016109, 2.701020516
2.703516105, 2.703519567
2.706016107, 2.706018758
2.708516103, 2.708520136
2.711016111, 2.711018871
2.713516107, 2.713518655
2.716016104, 2.716018760
2.718516112, 2.718518746
2.721016107, 2.721019552
2.723516109, 2.723519133
2.726016111, 2.726018739
2.728516108, 2.728518591
2.731016110, 2.731018759
2.733516106, 2.733518706
2.736016111, 2.736018605
2.738516104, 2.738518710
2.741016111, 2.741018790
2.743516104, 2.743518720
2.746016111, 2.746018827
2.748516108, 2.748518605
2.751016103, 2.751020381
2.753516107, 2.753518659
2.756016103, 2.756018849
2.758516111, 2.758518609
2.761016103, 2.761018899
2.763516108, 2.763519116
2.766016112, 2.766018921
2.768516104, 2.768518648
2.771016112, 2.771018821
2.773516108, 2.773518700
2.776016110, 2.776018840
2.778516104, 2.778518661
2.781016108, 2.781018908
2.783516111, 2.783519436
2.786016104, 2.786018647
2.788516111, 2.788518590
2.791016105, 2.791018722
2.793516110, 2.793518601
2.796016104, 2.796018580
2.798516106, 2.798519263
